Gene ID,EntrezGene ID
ENSG00000151005,84076
ENSG00000240303,84129
ENSG00000116906,8443
ENSG00000131055,84701
ENSG00000165349,84889
ENSG00000139133,84920
ENSG00000153933,8526
ENSG00000280873,8527
ENSG00000077044,8527
ENSG00000186115,8529
ENSG00000119523,85365
ENSG00000018510,8540
ENSG00000115840,8604
ENSG00000131471,8639
ENSG00000159228,873
ENSG00000197858,8733
ENSG00000254685,8790
ENSG00000172340,8801
ENSG00000136908,8818
ENSG00000137563,8836
ENSG00000128918,8854
ENSG00000112303,8875
ENSG00000106397,8985
ENSG00000183032,89874
ENSG00000113732,8992
ENSG00000102078,9016
ENSG00000198682,9060
ENSG00000140297,9245
ENSG00000141349,92579
ENSG00000143315,93183
ENSG00000137106,9380
ENSG00000136720,9394
ENSG00000172817,9420
ENSG00000152904,9453
ENSG00000153291,9481
ENSG00000108474,9487
ENSG00000128242,9514
ENSG00000004468,952
ENSG00000136888,9550
ENSG00000241468,9551
ENSG00000119125,9615
ENSG00000119640,97
ENSG00000158825,978
ENSG00000156471,9791
ENSG00000170634,98
